Polling Place ID,POLL_NAME,ADDRESS,CITY,STATE,ZIP,PRECINCT
31,CHEYENNE HIGH SCHOOL,3200 W ALEXANDER RD,NORTH LAS VEGAS,NV,89032,4501
31,CHEYENNE HIGH SCHOOL,3200 W ALEXANDER RD,NORTH LAS VEGAS,NV,89032,4581
31,CHEYENNE HIGH SCHOOL,3200 W ALEXANDER RD,NORTH LAS VEGAS,NV,89032,4582
31,CHEYENNE HIGH SCHOOL,3200 W ALEXANDER RD,NORTH LAS VEGAS,NV,89032,4586
307,CHRIST LUTHERAN CHURCH,111 N TORREY PINES DR,LAS VEGAS,NV,89107,3783
307,CHRIST LUTHERAN CHURCH,111 N TORREY PINES DR,LAS VEGAS,NV,89107,3805
307,CHRIST LUTHERAN CHURCH,111 N TORREY PINES DR,LAS VEGAS,NV,89107,3811
307,CHRIST LUTHERAN CHURCH,111 N TORREY PINES DR,LAS VEGAS,NV,89107,3812
33,CHRIST THE SERVANT LUTHERAN,2 S PECOS RD,HENDERSON,NV,89074,7663
33,CHRIST THE SERVANT LUTHERAN,2 S PECOS RD,HENDERSON,NV,89074,7664
33,CHRIST THE SERVANT LUTHERAN,2 S PECOS RD,HENDERSON,NV,89074,7693
34,"CHRISTENSEN, M J ELEMENTARY",9001 MARINER COVE DR,LAS VEGAS,NV,89117,6661
34,"CHRISTENSEN, M J ELEMENTARY",9001 MARINER COVE DR,LAS VEGAS,NV,89117,6662
34,"CHRISTENSEN, M J ELEMENTARY",9001 MARINER COVE DR,LAS VEGAS,NV,89117,6665
34,"CHRISTENSEN, M J ELEMENTARY",9001 MARINER COVE DR,LAS VEGAS,NV,89117,6672
36,CIMARRON MEMORIAL HIGH SCHOOL,2301 N TENAYA WAY,LAS VEGAS,NV,89128,3392
36,CIMARRON MEMORIAL HIGH SCHOOL,2301 N TENAYA WAY,LAS VEGAS,NV,89128,3393
36,CIMARRON MEMORIAL HIGH SCHOOL,2301 N TENAYA WAY,LAS VEGAS,NV,89128,3751
36,CIMARRON MEMORIAL HIGH SCHOOL,2301 N TENAYA WAY,LAS VEGAS,NV,89128,3752
36,CIMARRON MEMORIAL HIGH SCHOOL,2301 N TENAYA WAY,LAS VEGAS,NV,89128,3765
37,CLARK CO FAIRGROUNDS-FINE ARTS,1301 WHIPPLE AVE,LOGANDALE,NV,89021,2473
37,CLARK CO FAIRGROUNDS-FINE ARTS,1301 WHIPPLE AVE,LOGANDALE,NV,89021,2476
325,CLARK CO PARKS AND REC-ADMIN. BLDG.,2601 E SUNSET RD,LAS VEGAS,NV,89120,7311
325,CLARK CO PARKS AND REC-ADMIN. BLDG.,2601 E SUNSET RD,LAS VEGAS,NV,89120,7705
385,CORONADO HIGH SCHOOL,1001 CORONADO CENTER DR,HENDERSON,NV,89052,1391
385,CORONADO HIGH SCHOOL,1001 CORONADO CENTER DR,HENDERSON,NV,89052,1396
385,CORONADO HIGH SCHOOL,1001 CORONADO CENTER DR,HENDERSON,NV,89052,1606
385,CORONADO HIGH SCHOOL,1001 CORONADO CENTER DR,HENDERSON,NV,89052,7652
311,"CORTEZ, MANUEL ELEMENTARY",4245 E TONOPAH AVE,LAS VEGAS,NV,89115,4514
311,"CORTEZ, MANUEL ELEMENTARY",4245 E TONOPAH AVE,LAS VEGAS,NV,89115,4553
311,"CORTEZ, MANUEL ELEMENTARY",4245 E TONOPAH AVE,LAS VEGAS,NV,89115,4554
42,"COX, DAVID ELEMENTARY",280 CLARK DR,HENDERSON,NV,89074,7685
42,"COX, DAVID ELEMENTARY",280 CLARK DR,HENDERSON,NV,89074,7692
42,"COX, DAVID ELEMENTARY",280 CLARK DR,HENDERSON,NV,89074,7704
466,"COZINE, STEVE ELEMENTARY",5335 COLEMAN ST,NORTH LAS VEGAS,NV,89031,2381
466,"COZINE, STEVE ELEMENTARY",5335 COLEMAN ST,NORTH LAS VEGAS,NV,89031,2383
366,"CRAM, BRIAN AND TERI MIDDLE SCHOOL",1900 W DEER SPRINGS WAY,NORTH LAS VEGAS,NV,89084,2446
366,"CRAM, BRIAN AND TERI MIDDLE SCHOOL",1900 W DEER SPRINGS WAY,NORTH LAS VEGAS,NV,89084,2449
366,"CRAM, BRIAN AND TERI MIDDLE SCHOOL",1900 W DEER SPRINGS WAY,NORTH LAS VEGAS,NV,89084,2484
44,"CULLEY, PAUL ELEMENTARY",1200 N MALLARD ST,LAS VEGAS,NV,89108,3785
44,"CULLEY, PAUL ELEMENTARY",1200 N MALLARD ST,LAS VEGAS,NV,89108,3794
44,"CULLEY, PAUL ELEMENTARY",1200 N MALLARD ST,LAS VEGAS,NV,89108,3802
44,"CULLEY, PAUL ELEMENTARY",1200 N MALLARD ST,LAS VEGAS,NV,89108,3803
